care_home_name,postcode,rating,provider_name,is_good_or_outstanding
Avocet House Care Home,PE21 7NT,Good,Tanglewood Project Company No. 1 Limited,1
Seacroft Court,PE25 3BE,Good,Prime Life Limited,1
Holbeach and East Elloe Hospital Trust,PE12 8AQ,Requires improvement,Holbeach & East Elloe Hospital Trust,0
Miramar Nursing Home,LN12 2LT,Good,Super Care Limited,1
Eagle House Residential Care Home,LN6 9DL,Outstanding,Hatzfeld Care (Lincoln) Limited,1
Stewton House Nursing Home,LN11 8RZ,Requires improvement,Pretty 1098 Ltd,0
The Old Hall Residential Care Home,PE23 5NZ,Good,Kesh-Care Limited,1
Grand View Care Home,PE9 2EX,Good,Alysia Caring (Stamford) Ltd,1
Woodlands Court Care Home,PE20 1DS,Good,Greenhold Care Homes Ltd,1
The Old Hall,NG34 0QA,Outstanding,Willow Homes-Lincs Limited,1
Waverley,LN12 1EJ,Requires improvement,Mrs Sara Gibson,0
Harrowby Lodge Nursing Home,NG31 9HX,Good,Harrowby Lodge Nursing Home Limited,1
Brambles,LN3 5UD,Good,Home from Home Care Limited,1
The Gables,LN13 9LF,Requires improvement,Mrs A D Pennington,0
Westerley Residential Care Home for the Elderly - Woodhall Spa,LN10 6SQ,Good,The Leaders Of Worship And Preachers Homes,1
Abbeygate Rest Home,PE6 0EG,Good,Abbeygate Rest Homes Limited,1
Abbeygate Retirement Home,PE12 6QB,Good,Abbeygate Rest Homes Limited,1
Halmer Court,PE11 2EL,Requires improvement,Glenholme Senior Living (Spalding) Limited,0
Greenacres Care Home,LN7 6QY,Good,Greenacres Care Limited,1
Melody Lodge,PE23 4BJ,Good,Skitini Care Homes Limited,1
Alderson House,LN12 1PH,Good,Alderson Limited,1
Victoria House Residential Home,LN13 9JB,Requires improvement,Mrs Reepaben Patel,0
Fairview Farm,NG31 8RJ,Good,Grantham and District Mencap Limited,1
Chestnuts Retirement Home,NG34 9DE,Good,The Chestnuts Retirement Home LLP,1
Southernwood House,PE11 2PN,Requires improvement,Wellbeing Residential Ltd,0
Little Brocklesby House,DN37 8JL,Good,Little Brocklesby House Limited,1
Meadows Park Care Home,LN11 0FS,Good,Tanglewood Project Company No. 2 Limited,1
Nene Lodge Retirement Home,PE12 9SG,Requires improvement,Nathu Limited,0
Redcote House Residential Care Home,LN6 7HQ,Inadequate,Bhandal Care Group (1ST Care UK) Ltd,0
Suillean House,NG34 9QP,Good,Kisimul Group Limited,1
Redcote Residential Home,DN21 5HR,Good,Gainsborough Care Ltd,1
Stones Place,LN6 0PA,Good,Methodist Homes,1
Greenacres Care Home,NG34 9RP,Requires improvement,Greenacres Care Home Limited,0
The Old Hall,LN3 4HD,Outstanding,Home from Home Care Limited,1
The Hawthorns,LN3 5UD,Outstanding,Home from Home Care Limited,1
Cherry Tree Lodge,NG34 9DA,Outstanding,Home from Home Care Limited,1
Kirk House,LN4 3PT,Requires improvement,Home from Home Care Limited,0
Orchard House Care Home,LN12 1EL,Good,Orchard House Nursing Home Limited,1
The Georgians (Boston) Limited - 50 Wide Bargate Boston,PE21 6RY,Good,Georgians (Boston) Limited(The),1
Kingsway Clayton House Residential Care Home,DN21 1LW,Requires improvement,Kingsway (Clayton House),0
Mayfield Residential Home,PE12 7AG,Requires improvement,Mayfield Residential Care Ltd,0
Ashtree House,LN13 0NG,Good,Tinfloyd Healthcare Limited,1
Courtlands Lodge,LN6 9RX,Good,Life Care (UK) Limited,1
Brun Lea Care,PE11 3XY,Good,Brun Lea Care Ltd,1
SENSE - 54 Monks Dyke Road,LN11 9AN,Good,Sense,1
SENSE - 56 Monks Dyke Road,LN11 9AN,Good,Sense,1
SENSE - 21a and 21b Johnson Avenue,PE11 2QE,Good,Sense,1
SENSE - 18 Water Gate,PE11 4PY,Good,Sense,1
SENSE - 25 Horsegate,PE6 8EW,Good,Sense,1
SENSE - 32a Broadgate Lane,PE6 8NW,Outstanding,Sense,1
Beckfield House Residential Home,LN4 1QJ,Requires improvement,Allington Healthcare Limited,0
Foxby Hill Care Home,DN21 1PN,Good,Foxby Hill Care Home Limited,1
Richard House Care Home,NG31 9LH,Requires improvement,Tanglewood Project Company No. 3 Limited,0
Waterloo House,LN8 3EX,Requires improvement,Platinum Care (Lincoln) Ltd,0
Ashwood Nursing Home - Spalding,PE11 3AU,Good,Country Court Care Homes Limited,1
Adrian O'Brien Rachel Amiee O'Brien - 122 Scorer Street,LN5 7SX,Requires improvement,Adrian O'Brien,0
OSJCT Beckside,LN6 9QX,Good,The Orders Of St. John Care Trust,1
OSJCT Patchett Lodge,PE12 7LJ,Good,The Orders Of St. John Care Trust,1
OSJCT Boultham Park House,LN6 7PH,Good,The Orders Of St. John Care Trust,1
OSJCT Digby Court,PE10 9AZ,Good,The Orders Of St. John Care Trust,1
OSJCT Eresby Hall,PE23 5HT,Good,The Orders Of St. John Care Trust,1
OSJCT Ermine House,LN2 2EX,Requires improvement,The Orders Of St. John Care Trust,0
OSJCT Foxby Court,DN21 1QR,Requires improvement,The Orders Of St. John Care Trust,0
OSJCT Gregory House,NG31 8BN,Outstanding,The Orders Of St. John Care Trust,1
OSJCT Hartsholme House,LN6 0ED,Outstanding,The Orders Of St. John Care Trust,1
OSJCT The Poplars,LN8 3DS,Good,The Orders Of St. John Care Trust,1
OSJCT Skirbeck Court,PE21 9NU,Good,The Orders Of St. John Care Trust,1
OSJCT Southfield House,PE11 1PS,Good,The Orders Of St. John Care Trust,1
OSJCT Whitefriars,PE9 1UN,Good,The Orders Of St. John Care Trust,1
St Andrew's Nursing and Care Home,NG34 9PL,Requires improvement,Jasmine Healthcare Limited,0
West Dean,LN1 1HS,Good,Achieve Together Limited,1
Nutten Stoven Residential Home,PE12 8AA,Requires improvement,Nutten Stoven Residential Home,0
Apple Trees Care & Reablement Centre,NG31 7GQ,Good,The Orders Of St. John Care Trust,1
Summerfield Rest Home,LN12 2NL,Good,Fins Care Limited,1
Newhaven Residential Home,LN13 9RF,Good,Mr. Stephen Brown and Mrs. Christine Brown,1
The Minstrels Residential Home,PE22 9AJ,Good,Mr Deva Samat Keshwara,1
Newton House,NG31 8AF,Good,Barchester Healthcare Homes Limited,1
Woodgrange,PE10 9TU,Good,Barchester Healthcare Homes Limited,1
The Cottage Residential Home,LN4 2BA,Requires improvement,Bhandal Care Group (BSB Care) Ltd,0
Howson Care Centre,DN21 5JU,Requires improvement,Howson Care Centre Limited,0
The Fountains Care Centre,DN36 5JX,Requires improvement,Halcyon Care Limited,0
Manor Care Centre,PE23 4DB,Good,Halcyon Care Limited,1
Riverside,LN11 0NJ,Good,Linkage Community Trust,1
Scremby Grange,PE23 5RW,Good,Linkage Community Trust,1
Seaton House,LN11 9AJ,Good,Linkage Community Trust,1
The Sycamores,LN13 9AN,Good,Linkage Community Trust,1
Beech Lodge - Mablethorpe,LN12 1DP,Good,Linkage Community Trust,1
Oak Lodge,LN12 1DP,Good,Linkage Community Trust,1
Livingstone Court,LN12 1DP,Good,Linkage Community Trust,1
Spencers Lodge,PE23 5AE,Good,Linkage Community Trust,1
Swallowdale,LN13 9EW,Good,Linkage Community Trust,1
The Palms,PE25 3BT,Good,Linkage Community Trust,1
Dunsford,PE23 5EH,Good,Linkage Community Trust,1
St Andrews Drive,PE25 1DL,Good,Linkage Community Trust,1
Vale View,PE23 5AE,Outstanding,Linkage Community Trust,1
Willoughby Grange Care Home,PE21 9EG,Good,Pristine Care Consortium Limited,1
The Grove Care Centre,LN6 5UW,Good,St Philips Care Limited,1
Canwick Court Care Centre,LN5 8ES,Good,St Philips Care Limited,1
Ridgeway Care Centre,LN1 1PB,Good,St Philips Care Limited,1
Roxholm Hall Care Centre,NG34 8ND,Good,St Philips Care Limited,1
Welbourn Manor Care Centre,LN5 0NH,Good,St Philips Care Limited,1
An Caladh House,LN4 1EH,Outstanding,Kisimul Group Limited,1
20 Towngate East,PE6 8DR,Good,Voyage 1 Limited,1
Byards Keep,NG34 8XT,Good,Voyage 1 Limited,1
An Darach House,LN6 9EY,Good,Kisimul Group Limited,1
Seathorne Court Residential Home,PE25 1RW,Good,Gungah Care Limited,1
The Hollies,LN3 5UD,Good,Home from Home Care Limited,1
South Wold Nursing Home,LN9 6QB,Good,Mr & Mrs S Munnien,1
Oakdene Care Home,NG34 7DJ,Good,Oakdene Sleaford Limited,1
Pickworth House,PE21 6PE,Good,Pickworths Residential Living Ltd,1
St Michaels,LN5 9RF,Good,Prime Life Limited,1
St Oggs,DN21 3AA,Requires improvement,Prime Life Limited,0
Tamar House,LN1 3SN,Good,Prime Life Limited,1
Byron House,PE25 3EH,Good,Prime Life Limited,1
Cherry Tree Lodge Nursing Home,LN2 4ET,Requires improvement,Prime Life Limited,0
Chestnut House,DN21 5AW,Good,Prime Life Limited,1
Clarence House & The Granary,LN9 5JE,Requires improvement,Prime Life Limited,0
Fir Close,LN11 9YH,Good,Prime Life Limited,1
Glengarriff House,LN8 3BB,Good,Prime Life Limited,1
Middlefield House Nursing Home,DN21 1TY,Requires improvement,Prime Life Limited,0
The Old Rectory,PE22 8AY,Good,Prime Life Limited,1
Oakwood Lodge,PE20 1BT,Requires improvement,Leisure Care Homes Limited,0
Broughton House and College,LN5 0SL,Good,Cygnet Care Services Limited,1
Broughton House and College,LN5 0SL,Good,Cygnet Care Services Limited,1
Ashridge,PE21 9AD,Good,Parkcare Homes (No.2) Limited,1
Caythorpe Residential Home,NG32 3DP,Good,Mrs Christine Lyte,1
Nightingale House Care Centre,LN10 5DT,Good,Knightingale Care Limited,1
Maple Leaf Lodge Care Home,NG31 9DN,Good,Beacon Place Limited,1
The Cedars,PE10 9UQ,Good,Cedars Health Care Limited,1
Holbeach Meadows Care Home,PE12 7NJ,Outstanding,Origin Care Homes (Holbeach) Limited,1
White Gables Care Home,LN6 5SA,Good,White Gables Care Home Ltd,1
Homer Lodge Care Centre,LN5 7RZ,Good,Premierbell Limited,1
Ashdene Care Home,NG34 7EE,Good,Ashdene Sleaford Limited,1
Fotherby House,LN11 0UG,Outstanding,North Warren Care Limited,1
Chesterfield House,LN6 9SP,Good,Elysium Healthcare (Healthlinc) Limited,1
Stonehaven,PE11 4PJ,Outstanding,Stonehaven Residential Home Limited,1
Eliot House,DN21 3AH,Good,Bramling Cross Care Limited,1
The Rowans,LN11 8DJ,Good,Boulevard Care Limited,1
Brantley Manor Care Home,LN5 8RX,Requires improvement,Pearlcare (Lincoln) Limited,0
Welbourn Hall Nursing Home,LN5 0NN,Requires improvement,Mr Nish Thakerar & Mr Kumar Thakerar,0
The Barn,LN4 3JD,Good,Autism Care (UK) Limited,1
The Cottage,LN4 3JD,Good,Autism Care (UK) Limited,1
The Paddocks,LN4 3JD,Good,Autism Care (UK) Limited,1
The Farmhouse,LN4 3JD,Good,Autism Care (UK) Limited,1
The Holt,LN4 3JD,Good,Autism Care (UK) Limited,1
The Croft,LN4 3JD,Good,Autism Care (UK) Limited,1
The Bancroft Residential Home Limited,PE12 9DF,Good,The Bancroft Residential Home Limited,1
Holly Tree Lodge Care Home,DN21 3QR,Good,Staywood Limited,1
The Laurels,LN2 4JX,Good,Hunters Moor 929,1
Phoenix Care Centre,PE24 5SN,Good,Phoenix Care Centre Limited,1
Grosvenor Hall Care Home,LN5 8QJ,Good,Care For Your Life Ltd,1
Eastholme Care Home,LN5 8ES,Good,Care For Your Life Ltd,1
St John's Care Home,PE11 1JQ,Good,Country Court Care Homes 2 Limited,1
Five Bells Residential Care Home,NG34 0SF,Good,Compleat Care (UK) Limited,1
Tigh Bruadair,DN21 1HQ,Good,Kisimul Group Limited,1
Fitzwilliam Care Centre,LN12 1FD,Inadequate,Mablethorpe Care Limited,0
Bramhall,LN4 4NL,Good,Mercer Care Ltd,1
Priory Court Care Home,PE9 2EU,Good,Avery Homes (Nelson) Limited,1
Doulton Court Lodge Care Home,LN12 2HF,Good,Doulton Care Ltd,1
Swallow Lodge,LN6 8UZ,Good,Making Space,1
Aspen Lodge Care home,PE25 2NX,Good,Aspen Lodge Care Ltd,1
Woodview Care Centre,LN4 1NT,Good,Woodview Care Ltd,1
Field House Residential Care Home,PE12 8LL,Good,Field House Residential Care Home Limited,1
Braeburn Lodge,PE6 8GP,Good,Barchester Healthcare Homes Limited,1
Cedar House,PE11 1QF,Requires improvement,Making Space,0
Tennyson Wharf,LN1 2ZD,Good,Barchester Healthcare Homes Limited,1
Beech Lodge Nursing Home,PE12 8QJ,Good,Country Court Care Homes 10 Limited,1
Chimneys Care Home,LN13 9HY,Good,North Warren Care Limited,1
Skirbeck Lodge,LN12 2HR,Good,Pickworths Residential Living Ltd,1
Keal View,PE23 5AE,Good,Linkage Community Trust,1
Boston West Care,PE21 7JU,Good,Park Avenue Care Limited,1
Bunkers Hill Care Home,LN2 4WQ,Requires improvement,Lincs Care Homes Limited,0
Sandbeck House Residential Home,PE25 3JX,Requires improvement,Care For Your Life Ltd,0
Bernadette House,LN5 8EW,Good,DES Healthcare Limited,1
Rose Lodge & Holland House Care Home,PE6 8AN,Good,Country Court Care Homes 2 Limited,1
Wispington House Limited,LN1 2QD,Good,The Davan Group Limited,1
Wainfleet Care Home,PE24 4DS,Good,Aspen Lodge Care Ltd,1
Belvoir House Care Home,NG31 8BE,Good,Trinite Group Ltd,1
Manor Gate Care Home,PE21 7BS,Good,Dr Bijoy Sinha & Dr Madhulika Sinha,1
Abbey Court Care Home,PE10 0GT,Good,Maven Healthcare (Abbey) LLP,1
The Willows,PE10 0SX,Requires improvement,The Willows Home Limited,0
The Oaks,LN3 5UD,Outstanding,Home from Home Care Limited,1
Apex Care Centre,LN12 1BP,Requires improvement,Apex Care Centre Limited,0
Eccleshare Court,LN6 0ED,Good,Country Court Care Homes Limited,1
Swanholme Court,LN6 0ED,Good,Country Court Care Homes Limited,1
Neale Court,LN6 9UA,Good,Country Court Care Homes Limited,1
Ruckland Court,LN1 3TP,Good,Country Court Care Homes Limited,1
York House,LN4 4BU,Good,LJ Care Homes Ltd,1
Ralphland Care Home,PE20 1QU,Requires improvement,Napier Advisors Limited,0
Bank House Residential Care Home,PE11 4PB,Requires improvement,AKD Care Limited,0
Canwick House Care Home,LN4 2RG,Good,Miss Catherine Elizabeth Paul,1
Sleaford Manor Care Home,NG34 6AR,Good,Care UK Care Services Limited,1
Kings Court Nursing Home,NG31 6RR,Requires improvement,Neuron Healthcare Limited,0
Drovers Call Care Home,DN21 1AN,Inadequate,Knights Care (5) Limited,0
The Reeds,LN4 3PT,Good,Home from Home Care Limited,1
The Elms Care Home,LN11 0DE,Good,Highgate Care Services Ltd,1
Ashley Court,LN5 8PQ,Good,Annicare North LTD,1
Vauxhall Court Care Home,PE21 0JW,Requires improvement,Westhorpe Care Limited,0
Bay Lodge,PE12 8QA,Good,Achieve Together Limited,1
Wyngate Residential Care Home,LN12 1PX,Good,Habilis Operations Limited,1
Tigh Coilean,LN6 9NW,Requires improvement,Kisimul Group Limited,0
Rayleigh House,PE25 3DH,Good,SBL Care Ltd,1
Blythe House,LN8 3SF,Good,Kisimul Group Limited,1
White Gables Care Home,PE20 1EP,Good,Pearl Blossom Limited,1
Altham Court Care Home,LN6 7SP,Requires improvement,HC-One No.1 Limited,0
Syne Hills Care Home Limited,PE25 3DJ,Good,Syne Hills Care Home Limited,1
Willow Court,LN3 4JW,Good,HC-One Limited,1
Monson Retirement Home,LN5 7RZ,Requires improvement,St. Catherine's Care Homes Limited,0
Blair House,LN4 4AY,Good,Parkcare Homes (No.2) Limited,1
Glebe House,LN7 6LS,Good,Parkcare Homes (No.2) Limited,1
The Grove Residential Care Home,LN9 5PT,Good,The Grovecare (UK) Limited,1
St Paul's Care Home,LN5 9RF,Good,Bhandal Care Group (BSB Care) Ltd,1
Martin Hall Nursing Home,LN4 3QY,Good,Knightingale Care Limited,1
Heatherlea House Residential Care Home,LN10 6SD,Requires improvement,Bhandal Care Group (1ST Care UK) Ltd,0
Red Court Care Community,NG31 8SA,Requires improvement,Red Homes Healthcare Grantham Limited,0
Madeira House,LN11 0HD,Good,Madeira Care Home Limited,1
Elmwood House Nursing Home,PE21 8EY,Good,HC-One No.3 Limited,1
The Gardens Residential Home,PE21 8EY,Good,HC-One No.3 Limited,1
Tallington Lodge Care Home,PE9 4RP,Good,Country Court Care Homes 3 OpCo Limited,1
Capricorn Cottage,PE12 8ND,Good,Agemco Ltd,1
Ashby Court,PE23 5DR,Good,Boulevard Care Limited,1
Boulevard House,LN12 2AD,Good,Boulevard Care Limited,1
Link House,LN13 0NB,Good,Boulevard Care Limited,1
Willoughby House,LN12 2NF,Requires improvement,Boulevard Care Limited,0
Nettleton Manor Nursing Home,LN7 6HX,Requires improvement,The Fountain care Management Ltd,0
Village Farm,LN6 9JS,Outstanding,Witham Valley Care Group Limited,1
The Gables,LN6 9NG,Good,Heathcotes Care Limited,1
St Clare's Care Home,LN6 0QT,Requires improvement,Care for your life - St Clare's Limited,0
Glenholme Holdingham Grange,NG34 8YU,Good,Glenholme Senior Living (Sleaford) Limited,1
The Phoenix,LN6 7RA,Good,Linkage Community Trust,1
Cathedral Care Centre,LN2 1RQ,Requires improvement,St Philips Care Limited,0
Bumblebee Lodge,PE23 5LP,Requires improvement,Boulevard Care Limited,0
Ferndene Care Home,DN21 1NY,Good,Monarch Healthcare (Ferndene) Ltd,1
Tigh Allene,LN4 1EH,Good,Kisimul Group Limited,1
The Bungalow Care Home,PE11 1QZ,Good,RAS Care Limited,1
Morton Manor,DN21 3BB,Requires improvement,Devonshire Care 1 Limited,0
The Manor,DN21 3UD,Requires improvement,Plenus Care Ltd,0
Bassingham Care Centre,LN5 9HE,Good,My Bassingham Limited,1
Tanglewood Care Home,LN9 5EN,Good,Tanglewood Care Services Limited,1
Cedar Falls Care Home,PE11 2UA,Requires improvement,Tanglewood Care Services Limited,0
Hunters Creek Care Home,PE21 7HB,Good,Tanglewood Care Services Limited,1
Sandpiper Care Home,LN13 9AQ,Good,Tanglewood Care Services Limited,1
Toray Pines Care Home,LN4 4SJ,Good,Tanglewood Care Services Limited,1
Tanglewood Cloverleaf,LN1 1EW,Good,Tanglewood Care Services Limited,1
West Cotes Residential Care Home,PE25 3HP,Requires improvement,Dr Bijoy Sinha & Dr Madhulika Sinha,0
Ayrshire House,NG23 5EH,Good,Ayrshire House Limited,1
Gosberton House Care Home,PE11 4EW,Good,ASD Care Limited,1
Orchard Lodge,LN4 3PT,Outstanding,Home from Home Care Limited,1
Genesis Residential Home,PE11 4UQ,Good,Genesis Residential Home (Spalding) Limited,1
The Haven,PE21 0BE,Good,Black Swan International Limited,1
Gables Manor,LN1 2PQ,Requires improvement,National Care Consortium Ltd,0
The Haven Care Home,LN4 3EF,Good,Bhandal Care Group (1ST Care UK) Ltd,1
Kimberley Care Village,PE12 9EA,Good,Amber ARC Limited,1
Willan House,LN8 5JL,Good,Willan House (Stainfield) Limited,1
Fenchurch House,PE11 3AS,Good,Country Court Care Homes 2 Limited,1
Braceborough Hall Retirement Home,PE9 4NT,Good,Mr John Robert Burcham,1
Roman Wharf Care Home,LN1 1SR,Good,Carecall Services Limited,1
The Wolds Care Centre,LN11 0JF,Requires improvement,Louth-W Care Limited,0
St Luke's Care Home,LN2 2UJ,Requires improvement,Carecall Services Limited,0
